LUT7,LUT6,LUT5,LUT4,LUT3,MEM64,MEM32,MEM16,Regs,DSPs,BRAM,Routing BRAM,Routing LUTs,Fanout Regs,Unavail. ALMs,Impl. ALMs,Needed ALMs
472,9441,12232,11158,22157,4619,519,559,75793,0,338,0,21100,3756,559,56587,47197
469,9472,12278,11128,22218,4619,519,559,75892,0,338,0,21172,3869,577,56743,47233
471,9498,12267,11119,22246,4619,519,559,75703,0,338,0,21076,3769,546,56694,47267
466,9483,12353,11154,22291,4619,519,559,75802,0,338,0,21242,3708,482,56768,47285
464,9524,12304,11148,22366,4619,519,559,75899,0,338,0,21330,3776,482,57002,47321
473,9499,12340,11187,22392,4619,519,559,75997,0,338,0,21160,3806,519,57023,47436
464,9448,12288,11138,22232,4619,519,559,75795,0,342,0,21243,3673,507,56770,47262
468,9445,12305,11172,22962,4619,519,559,76876,0,358,0,21535,3744,550,57387,47787
472,9470,12247,11197,23500,4619,519,559,78230,0,378,0,21757,3683,533,57908,48164
405,8965,12310,11849,21239,4619,519,559,82234,0,418,0,27565,3891,599,59901,49602
410,8951,12296,11845,22876,4619,519,559,88634,0,498,0,31970,3693,618,64782,52037
415,8930,12302,11859,26043,4619,519,559,101411,0,658,0,38011,4066,664,70628,56934
455,10749,12577,12318,23308,4619,519,559,84800,2,516,0,24609,4153,616,62358,51628
450,10754,12572,12340,23339,4619,519,559,84839,4,517,0,24564,4294,646,62131,51688
407,10089,12470,12231,23713,4619,549,561,82517,6,457,0,25044,3999,619,60974,51128
455,10749,12577,12318,23308,4619,519,559,84800,2,516,0,24609,4153,616,62358,51628
450,10754,12572,12340,23339,4619,519,559,84839,4,517,0,24564,4294,646,62131,51688
407,10089,12470,12231,23713,4619,549,561,82517,6,457,0,25044,3999,619,60974,51128
340,9936,12501,11696,20270,4619,519,559,80147,0,338,0,27709,3800,906,59576,50425
303,10141,12900,11833,20308,4619,519,559,83990,0,338,0,31467,4262,1090,61878,52978
431,10491,13561,12113,20686,4619,519,559,92249,0,338,0,39627,5505,1496,67173,58737
553,11713,14601,12748,21426,4619,519,559,109052,0,338,0,55853,7903,2482,78090,70334
955,14193,17466,17243,23901,4619,519,559,142060,0,338,0,85565,10997,4387,101024,95036
